"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","subjectID","dateInfo","rt","stimulus","response","question_order","choices","speedy","sampleAlg","selected_image","selected_index","correct"
"true","false","[]","[]","[]","preload","0","134","0.0-0.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","","","","","","","","","",""
"true","","","","","fullscreen","1","2749","0.0-1.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2762","0.0-2.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","","null","","","","","","",""
"","","","","","html-button-response","3","11536","0.0-3.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","8773","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0","","","","","","",""
"true","","","","","fullscreen","4","15191","0.0-4.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","","","","","","","","","",""
"","","","","","survey-multi-select","5","96795","0.0-5.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","81598","","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","",""
"","","","","","html-button-response","6","101154","0.0-6.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","4357","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 25 minutes to complete both parts.","0","","","","","","",""
"","","","","","survey-text","7","107834","0.0-7.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","6676","","{""Age"":""21"",""Gender"":""Female"",""Race/ethnicity"":""White""}","","","","","","",""
"","","","","","html-button-response","8","122248","0.0-8.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","14414","<div style='text-align: center;'>
      <p>In each trial of this task, you will see three texture images: one target item on top, and two choices beneath the target item.</p>
      <p><strong>Please select the item that is most like the target item.</strong></p>
      <p>To select the option on the <strong>LEFT</strong>, press the <strong>LEFT ARROW</strong> key. 
      To select the option on the <strong>RIGHT</strong>, press the <strong>RIGHT ARROW</strong> key.</p>
                  <!-- Target Image at the Top -->
      <div style='margin: 20px;'>
        <img src='materials/imgs/instruction_images/InstructionImg1D78.png' alt='Target Image' style='width:200px; height:auto;' />
        <p><em>Target Image</em></p>
      </div>

      <!-- Two Choice Images Below -->
      <div style='display: flex; justify-content: center;'>
        <div style='margin-right: 50px;'>
          <img src='materials/imgs/instruction_images/InstructionImg2D34.png' alt='Choice Image 1' style='width:150px; height:auto;' />
          <p><em><strong>LEFT ARROW</strong></em></p>
        </div>
        <div style='margin-left: 50px;'>
          <img src='materials/imgs/instruction_images/InstructionImg3D80.png' alt='Choice Image 2' style='width:150px; height:auto;' />
          <p><em><strong>RIGHT ARROW</strong></em></p>
        </div>
      </div>
    </div>

      <p>When you are ready to proceed, please click 'Continue' to begin practice.</p>","0","","","","","","",""
"","","","","","html-keyboard-response","9","124753","0.0-9.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","html-keyboard-response","10","125256","0.0-10.0-0.0-0.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","11","128762","0.0-10.0-0.0-1.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","3499","materials/imgs/D85.png","arrowright","","[""materials/imgs/D24.png"",""materials/imgs/D3.png""]","false","random","","",""
"","","","","","html-keyboard-response","12","129264","0.0-10.0-0.0-0.1","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","13","130850","0.0-10.0-0.0-1.1","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1584","materials/imgs/D1.png","arrowleft","","[""materials/imgs/D96.png"",""materials/imgs/D105.png""]","false","random","","",""
"","","","","","html-keyboard-response","14","131351","0.0-10.0-0.0-0.2","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","15","133224","0.0-10.0-0.0-1.2","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1870","materials/imgs/D32.png","arrowright","","[""materials/imgs/D26.png"",""materials/imgs/D111.png""]","false","random","","",""
"","","","","","html-keyboard-response","16","133726","0.0-10.0-0.0-0.3","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","17","134992","0.0-10.0-0.0-1.3","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1265","materials/imgs/D101.png","arrowleft","","[""materials/imgs/D56.png"",""materials/imgs/D80.png""]","false","random","","",""
"","","","","","html-keyboard-response","18","135494","0.0-10.0-0.0-0.4","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","19","137192","0.0-10.0-0.0-1.4","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1694","materials/imgs/D3.png","arrowright","","[""materials/imgs/D48.png"",""materials/imgs/D32.png""]","false","random","","",""
"","","","","","html-keyboard-response","20","137694","0.0-10.0-0.0-0.5","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","21","140429","0.0-10.0-0.0-1.5","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2734","materials/imgs/D17.png","arrowright","","[""materials/imgs/D84.png"",""materials/imgs/D103.png""]","false","random","","",""
"","","","","","html-keyboard-response","22","140931","0.0-10.0-0.0-0.6","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","23","144068","0.0-10.0-0.0-1.6","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","3135","materials/imgs/D64.png","arrowleft","","[""materials/imgs/D52.png"",""materials/imgs/D101.png""]","false","random","","",""
"","","","","","html-keyboard-response","24","144570","0.0-10.0-0.0-0.7","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","25","146982","0.0-10.0-0.0-1.7","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2401","materials/imgs/D64.png","arrowright","","[""materials/imgs/D79.png"",""materials/imgs/D78.png""]","false","random","","",""
"","","","","","html-keyboard-response","26","147484","0.0-10.0-0.0-0.8","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","27","150292","0.0-10.0-0.0-1.8","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2806","materials/imgs/D77.png","arrowleft","","[""materials/imgs/D46.png"",""materials/imgs/D94.png""]","false","random","","",""
"","","","","","html-keyboard-response","28","150793","0.0-10.0-0.0-0.9","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","29","154091","0.0-10.0-0.0-1.9","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","3296","materials/imgs/D34.png","arrowright","","[""materials/imgs/D49.png"",""materials/imgs/D83.png""]","false","random","","",""
"","","","","","html-button-response","30","158786","0.0-11.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","4693","<p>Great job!</p>
      <p>You are now ready to begin the experiment.</p>
      <p>There will be around 200 trials. You will have opportunities to take breaks at three stages of the trials.</p>
      <p>When you are ready to begin please click 'Continue'.</p>","0","","","","","","",""
"","","","","","html-keyboard-response","31","161289","0.0-12.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","html-keyboard-response","32","161792","0.0-13.0-0.0-0.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","33","166316","0.0-13.0-0.0-1.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","4521","materials/imgs/D104.png","arrowright","","[""materials/imgs/D53.png"",""materials/imgs/D79.png""]","false","random","","",""
"","","","","","html-keyboard-response","34","166817","0.0-13.0-0.0-0.1","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","35","168169","0.0-13.0-0.0-1.1","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1349","materials/imgs/D94.png","arrowright","","[""materials/imgs/D49.png"",""materials/imgs/D1.png""]","false","random","","",""
"","","","","","html-keyboard-response","36","168670","0.0-13.0-0.0-0.2","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","37","170141","0.0-13.0-0.0-1.2","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1468","materials/imgs/D34.png","arrowright","","[""materials/imgs/D49.png"",""materials/imgs/D74.png""]","false","random","","",""
"","","","","","html-keyboard-response","38","170642","0.0-13.0-0.0-0.3","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","39","172042","0.0-13.0-0.0-1.3","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1398","materials/imgs/D17.png","arrowright","","[""materials/imgs/D87.png"",""materials/imgs/D79.png""]","false","random","","",""
"","","","","","html-keyboard-response","40","172544","0.0-13.0-0.0-0.4","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","41","174319","0.0-13.0-0.0-1.4","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1773","materials/imgs/D24.png","arrowright","","[""materials/imgs/D105.png"",""materials/imgs/D53.png""]","false","random","","",""
"","","","","","html-keyboard-response","42","174820","0.0-13.0-0.0-0.5","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","43","176914","0.0-13.0-0.0-1.5","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2092","materials/imgs/D68.png","arrowright","","[""materials/imgs/D74.png"",""materials/imgs/D52.png""]","false","random","","",""
"","","","","","html-keyboard-response","44","177415","0.0-13.0-0.0-0.6","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","45","178674","0.0-13.0-0.0-1.6","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1258","materials/imgs/D106.png","arrowright","","[""materials/imgs/D81.png"",""materials/imgs/D16.png""]","false","random","","",""
"","","","","","html-keyboard-response","46","179176","0.0-13.0-1.0-0.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","47","180180","0.0-13.0-1.0-1.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1003","materials/imgs/D106.png","arrowleft","","[""materials/imgs/D106.png"",""materials/imgs/D101.png""]","","check","materials/imgs/D106.png","0","true"
"","","","","","html-keyboard-response","48","180682","0.0-13.0-2.0-0.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","49","183928","0.0-13.0-2.0-1.0","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","3244","materials/imgs/D18.png","arrowleft","","[""materials/imgs/D32.png"",""materials/imgs/D57.png""]","false","validation","","",""
"","","","","","html-keyboard-response","50","184430","0.0-13.0-2.0-0.1","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","51","185866","0.0-13.0-2.0-1.1","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1433","materials/imgs/D18.png","arrowleft","","[""materials/imgs/D32.png"",""materials/imgs/D57.png""]","false","validation","","",""
"","","","","","html-keyboard-response","52","186368","0.0-13.0-0.1-0.7","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","53","188294","0.0-13.0-0.1-1.7","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1923","materials/imgs/D106.png","arrowleft","","[""materials/imgs/D77.png"",""materials/imgs/D1.png""]","false","random","","",""
"","","","","","html-keyboard-response","54","188795","0.0-13.0-0.1-0.8","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","55","191583","0.0-13.0-0.1-1.8","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2785","materials/imgs/D34.png","arrowright","","[""materials/imgs/D101.png"",""materials/imgs/D9.png""]","false","random","","",""
"","","","","","html-keyboard-response","56","192085","0.0-13.0-0.1-0.9","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","57","195289","0.0-13.0-0.1-1.9","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","3202","materials/imgs/D20.png","arrowleft","","[""materials/imgs/D76.png"",""materials/imgs/D18.png""]","false","random","","",""
"","","","","","html-keyboard-response","58","195790","0.0-13.0-0.1-0.10","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","59","196757","0.0-13.0-0.1-1.10","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","965","materials/imgs/D48.png","arrowleft","","[""materials/imgs/D8.png"",""materials/imgs/D52.png""]","false","random","","",""
"","","","","","html-keyboard-response","60","197258","0.0-13.0-0.1-0.11","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","61","199692","0.0-13.0-0.1-1.11","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2432","materials/imgs/D36.png","arrowleft","","[""materials/imgs/D8.png"",""materials/imgs/D74.png""]","false","random","","",""
"","","","","","html-keyboard-response","62","200193","0.0-13.0-0.1-0.12","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","63","201689","0.0-13.0-0.1-1.12","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1493","materials/imgs/D24.png","arrowleft","","[""materials/imgs/D6.png"",""materials/imgs/D101.png""]","false","random","","",""
"","","","","","html-keyboard-response","64","202190","0.0-13.0-0.1-0.13","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","65","203636","0.0-13.0-0.1-1.13","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1443","materials/imgs/D49.png","arrowright","","[""materials/imgs/D8.png"",""materials/imgs/D24.png""]","false","random","","",""
"","","","","","html-keyboard-response","66","204137","0.0-13.0-1.1-0.1","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","67","204846","0.0-13.0-1.1-1.1","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","706","materials/imgs/D106.png","arrowleft","","[""materials/imgs/D106.png"",""materials/imgs/D101.png""]","","check","materials/imgs/D106.png","0","true"
"","","","","","html-keyboard-response","68","205347","0.0-13.0-2.1-0.2","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","69","207974","0.0-13.0-2.1-1.2","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2625","materials/imgs/D51.png","arrowright","","[""materials/imgs/D92.png"",""materials/imgs/D20.png""]","false","validation","","",""
"","","","","","html-keyboard-response","70","208475","0.0-13.0-2.1-0.3","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","71","210056","0.0-13.0-2.1-1.3","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1579","materials/imgs/D22.png","arrowleft","","[""materials/imgs/D4.png"",""materials/imgs/D25.png""]","false","validation","","",""
"","","","","","html-keyboard-response","72","210557","0.0-13.0-0.2-0.14","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","73","211454","0.0-13.0-0.2-1.14","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","895","materials/imgs/D21.png","arrowright","","[""materials/imgs/D47.png"",""materials/imgs/D22.png""]","false","random","","",""
"","","","","","html-keyboard-response","74","211955","0.0-13.0-0.2-0.15","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","75","214684","0.0-13.0-0.2-1.15","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2726","materials/imgs/D25.png","arrowleft","","[""materials/imgs/D47.png"",""materials/imgs/D103.png""]","false","random","","",""
"","","","","","html-keyboard-response","76","215185","0.0-13.0-0.2-0.16","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","77","217605","0.0-13.0-0.2-1.16","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2417","materials/imgs/D17.png","arrowleft","","[""materials/imgs/D78.png"",""materials/imgs/D4.png""]","false","random","","",""
"","","","","","html-keyboard-response","78","218107","0.0-13.0-0.2-0.17","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","79","219221","0.0-13.0-0.2-1.17","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1111","materials/imgs/D55.png","arrowright","","[""materials/imgs/D25.png"",""materials/imgs/D53.png""]","false","random","","",""
"","","","","","html-keyboard-response","80","219722","0.0-13.0-0.2-0.18","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","81","221196","0.0-13.0-0.2-1.18","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1471","materials/imgs/D16.png","arrowright","","[""materials/imgs/D8.png"",""materials/imgs/D24.png""]","false","random","","",""
"","","","","","html-keyboard-response","82","221697","0.0-13.0-0.2-0.19","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","83","223794","0.0-13.0-0.2-1.19","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2094","materials/imgs/D77.png","arrowright","","[""materials/imgs/D18.png"",""materials/imgs/D19.png""]","false","random","","",""
"","","","","","html-keyboard-response","84","224296","0.0-13.0-0.2-0.20","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","85","226162","0.0-13.0-0.2-1.20","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1863","materials/imgs/D36.png","arrowright","","[""materials/imgs/D87.png"",""materials/imgs/D24.png""]","false","random","","",""
"","","","","","html-keyboard-response","86","226663","0.0-13.0-1.2-0.2","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","87","227779","0.0-13.0-1.2-1.2","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1113","materials/imgs/D64.png","arrowleft","","[""materials/imgs/D64.png"",""materials/imgs/D53.png""]","","check","materials/imgs/D64.png","0","true"
"","","","","","html-keyboard-response","88","228280","0.0-13.0-2.2-0.4","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","89","230473","0.0-13.0-2.2-1.4","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2190","materials/imgs/D52.png","arrowleft","","[""materials/imgs/D9.png"",""materials/imgs/D19.png""]","false","validation","","",""
"","","","","","html-keyboard-response","90","230974","0.0-13.0-2.2-0.5","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","91","232874","0.0-13.0-2.2-1.5","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1898","materials/imgs/D106.png","arrowleft","","[""materials/imgs/D57.png"",""materials/imgs/D18.png""]","false","validation","","",""
"","","","","","html-keyboard-response","92","233375","0.0-13.0-0.3-0.21","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","93","235699","0.0-13.0-0.3-1.21","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2321","materials/imgs/D51.png","arrowright","","[""materials/imgs/D95.png"",""materials/imgs/D32.png""]","false","random","","",""
"","","","","","html-keyboard-response","94","236201","0.0-13.0-0.3-0.22","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","95","237734","0.0-13.0-0.3-1.22","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1531","materials/imgs/D74.png","arrowright","","[""materials/imgs/D106.png"",""materials/imgs/D20.png""]","false","random","","",""
"","","","","","html-keyboard-response","96","238235","0.0-13.0-0.3-0.23","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","97","241113","0.0-13.0-0.3-1.23","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2876","materials/imgs/D68.png","arrowleft","","[""materials/imgs/D82.png"",""materials/imgs/D96.png""]","false","random","","",""
"","","","","","html-keyboard-response","98","241614","0.0-13.0-0.3-0.24","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","99","242601","0.0-13.0-0.3-1.24","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","985","materials/imgs/D75.png","arrowright","","[""materials/imgs/D49.png"",""materials/imgs/D57.png""]","false","random","","",""
"","","","","","html-keyboard-response","100","243103","0.0-13.0-0.3-0.25","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","101","244271","0.0-13.0-0.3-1.25","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1165","materials/imgs/D8.png","arrowleft","","[""materials/imgs/D111.png"",""materials/imgs/D103.png""]","false","random","","",""
"","","","","","html-keyboard-response","102","244771","0.0-13.0-0.3-0.26","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","103","246737","0.0-13.0-0.3-1.26","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1963","materials/imgs/D76.png","arrowleft","","[""materials/imgs/D83.png"",""materials/imgs/D36.png""]","false","random","","",""
"","","","","","html-keyboard-response","104","247238","0.0-13.0-0.3-0.27","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","105","254249","0.0-13.0-0.3-1.27","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","7008","materials/imgs/D3.png","arrowleft","","[""materials/imgs/D9.png"",""materials/imgs/D1.png""]","false","random","","",""
"","","","","","html-keyboard-response","106","254752","0.0-13.0-1.3-0.3","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","107","256148","0.0-13.0-1.3-1.3","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1394","materials/imgs/D18.png","arrowright","","[""materials/imgs/D8.png"",""materials/imgs/D18.png""]","","check","materials/imgs/D18.png","1","true"
"","","","","","html-keyboard-response","108","256649","0.0-13.0-2.3-0.6","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","109","257807","0.0-13.0-2.3-1.6","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1156","materials/imgs/D57.png","arrowright","","[""materials/imgs/D111.png"",""materials/imgs/D4.png""]","false","validation","","",""
"","","","","","html-keyboard-response","110","258309","0.0-13.0-2.3-0.7","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","111","259230","0.0-13.0-2.3-1.7","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","919","materials/imgs/D53.png","arrowleft","","[""materials/imgs/D77.png"",""materials/imgs/D75.png""]","false","validation","","",""
"","","","","","html-keyboard-response","112","259732","0.0-13.0-0.4-0.28","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","113","261933","0.0-13.0-0.4-1.28","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2199","materials/imgs/D66.png","arrowright","","[""materials/imgs/D106.png"",""materials/imgs/D53.png""]","false","random","","",""
"","","","","","html-keyboard-response","114","262434","0.0-13.0-0.4-0.29","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","115","264517","0.0-13.0-0.4-1.29","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","2080","materials/imgs/D76.png","arrowleft","","[""materials/imgs/D66.png"",""materials/imgs/D53.png""]","false","random","","",""
"","","","","","html-keyboard-response","116","265019","0.0-13.0-0.4-0.30","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","117","266882","0.0-13.0-0.4-1.30","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1861","materials/imgs/D19.png","arrowright","","[""materials/imgs/D101.png"",""materials/imgs/D78.png""]","false","random","","",""
"","","","","","html-keyboard-response","118","267384","0.0-13.0-0.4-0.31","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","119","268539","0.0-13.0-0.4-1.31","6hanjktrxc","","6hanjktrxc","""2024-11-13T18:51:42.036Z""","1152","materials/imgs/D20.png","arrowright","","[""materials/imgs/D36.png"",""materials/imgs/D22.png""]","false","random","","",""
